member_casual,day_of_week,num_rides,avg_duration
casual,Sunday,14754,42.46323144006145
casual,Monday,3671,35.84491510033597
casual,Tuesday,4542,35.2279392338177
casual,Wednesday,5141,44.4691921156714
casual,Thursday,4175,36.29893413173653
casual,Friday,4591,39.69267407246061
casual,Saturday,7428,40.13973703105367
member,Sunday,35478,13.793061897513953
member,Monday,61359,11.22697919892219
member,Tuesday,69109,11.444387851075836
member,Wednesday,63392,11.312465295305401
member,Thursday,60606,11.288269313269314
member,Friday,54933,11.184090012682116
member,Saturday,29747,12.273913896079156
